2026-04-02 16:56:39 | INFO     | embedding_service |   Qdrant     : localhost:6565
2026-04-02 16:56:39 | INFO     | embedding_service |   Collection : patient_clinical_notes
2026-04-02 16:56:39 | INFO     | embedding_service |   Input file : data/input/input.xlsx
2026-04-02 16:56:39 | INFO     | embedding_service | =======================================================
2026-04-02 16:58:21 | INFO     | embedding_service | Embedding service logging initialised
2026-04-02 16:58:23 | INFO     | embedding_service | =======================================================
2026-04-02 16:58:23 | INFO     | embedding_service |   Embedding Service starting up
2026-04-02 16:58:23 | INFO     | embedding_service |   Env        : development
2026-04-02 16:58:23 | INFO     | embedding_service |   Model      : gemini-embedding-001
2026-04-02 16:58:23 | INFO     | embedding_service |   Qdrant     : localhost:6565
2026-04-02 16:58:23 | INFO     | embedding_service |   Collection : patient_clinical_notes
2026-04-02 16:58:23 | INFO     | embedding_service |   Input file : data/input/input.xlsx
2026-04-02 16:58:23 | INFO     | embedding_service | =======================================================
2026-04-02 16:58:23 | INFO     | embedding_service | Gemini embedder initialised
2026-04-02 16:58:23 | INFO     | embedding_service | Qdrant collection ready | patient_clinical_notes
2026-04-02 16:58:23 | INFO     | embedding_service | Embedding service logging initialised
2026-04-02 16:58:24 | INFO     | embedding_service | =======================================================
2026-04-02 16:58:24 | INFO     | embedding_service |   Embedding Service starting up
2026-04-02 16:58:24 | INFO     | embedding_service |   Env        : development
2026-04-02 16:58:24 | INFO     | embedding_service |   Model      : gemini-embedding-001
2026-04-02 16:58:24 | INFO     | embedding_service |   Qdrant     : localhost:6565
2026-04-02 16:58:24 | INFO     | embedding_service |   Collection : patient_clinical_notes
2026-04-02 16:58:24 | INFO     | embedding_service |   Input file : data/input/input.xlsx
2026-04-02 16:58:24 | INFO     | embedding_service | =======================================================
2026-04-02 16:58:24 | INFO     | embedding_service | Gemini embedder initialised
2026-04-02 16:58:24 | INFO     | embedding_service | Qdrant collection ready | patient_clinical_notes
2026-04-02 16:58:25 | INFO     | embedding_service | Embedding service logging initialised
2026-04-02 16:58:26 | INFO     | embedding_service | =======================================================
2026-04-02 16:58:26 | INFO     | embedding_service |   Embedding Service starting up
2026-04-02 16:58:26 | INFO     | embedding_service |   Env        : development
2026-04-02 16:58:26 | INFO     | embedding_service |   Model      : gemini-embedding-001
2026-04-02 16:58:26 | INFO     | embedding_service |   Qdrant     : localhost:6565
2026-04-02 16:58:26 | INFO     | embedding_service |   Collection : patient_clinical_notes
2026-04-02 16:58:26 | INFO     | embedding_service |   Input file : data/input/input.xlsx
2026-04-02 16:58:26 | INFO     | embedding_service | =======================================================
2026-04-02 16:58:26 | INFO     | embedding_service | Gemini embedder initialised
2026-04-02 16:58:26 | INFO     | embedding_service | Qdrant collection ready | patient_clinical_notes
2026-04-02 17:00:05 | INFO     | embedding_service | Embedding service logging initialised
2026-04-02 17:00:06 | INFO     | embedding_service | =======================================================
2026-04-02 17:00:06 | INFO     | embedding_service |   Embedding Service starting up
2026-04-02 17:00:06 | INFO     | embedding_service |   Env        : development
2026-04-02 17:00:06 | INFO     | embedding_service |   Model      : gemini-embedding-001
2026-04-02 17:00:06 | INFO     | embedding_service |   Qdrant     : localhost:6565
2026-04-02 17:00:06 | INFO     | embedding_service |   Collection : patient_clinical_notes
2026-04-02 17:00:06 | INFO     | embedding_service |   Input file : data/input/input.xlsx
2026-04-02 17:00:06 | INFO     | embedding_service | =======================================================
2026-04-02 17:00:06 | INFO     | embedding_service | Gemini embedder initialised
2026-04-02 17:00:06 | INFO     | embedding_service | Qdrant collection ready | patient_clinical_notes
2026-04-02 17:00:53 | INFO     | embedding_service | Bulk embed job queued | job_id=f1670774-0cc5-4438-8891-9901485d387d
2026-04-02 17:00:53 | INFO     | embedding_service | Bulk embed triggered | job_id=f1670774-0cc5-4438-8891-9901485d387d
2026-04-02 17:00:53 | ERROR    | embedding_service | Bulk embed job failed | job_id=f1670774-0cc5-4438-8891-9901485d387d | Excel file not found: data/input/input.xlsx
2026-04-02 17:02:19 | INFO     | embedding_service | Embedding service logging initialised
2026-04-02 17:02:21 | INFO     | embedding_service | =======================================================
2026-04-02 17:02:21 | INFO     | embedding_service |   Embedding Service starting up
2026-04-02 17:02:21 | INFO     | embedding_service |   Env        : development
2026-04-02 17:02:21 | INFO     | embedding_service |   Model      : gemini-embedding-001
2026-04-02 17:02:21 | INFO     | embedding_service |   Qdrant     : localhost:6565
2026-04-02 17:02:21 | INFO     | embedding_service |   Collection : patient_clinical_notes
2026-04-02 17:02:21 | INFO     | embedding_service |   Input file : ../data/input/input.xlsx
2026-04-02 17:02:21 | INFO     | embedding_service | =======================================================
2026-04-02 17:02:21 | INFO     | embedding_service | Gemini embedder initialised
2026-04-02 17:02:21 | INFO     | embedding_service | Qdrant collection ready | patient_clinical_notes
2026-04-02 17:02:34 | INFO     | embedding_service | Bulk embed job queued | job_id=37e89299-cd5d-4f9b-a0d9-7b434734daa7
2026-04-02 17:02:34 | INFO     | embedding_service | Bulk embed triggered | job_id=37e89299-cd5d-4f9b-a0d9-7b434734daa7
